,freq. in pattern,freq. in corpus,p-value Fisher Exact,Attraction (%),Reliance (%),ΔP Attraction,ΔP Reliance,Odds Ratio
נוס flee,18,49,1.829e-28,7.83,36.73,0.0774926300727511,0.3621166326052292,110.43
ירד descend,17,84,6.437e-22,7.39,20.24,0.0722526548977692,0.19712143339236035,47.99
שׁכב lie down,3,18,1.377e-04,1.3,16.67,0.012671749474192324,0.16107057160700786,35.54
נפל fall,12,75,1.569e-14,5.22,16.0,0.05061265213943385,0.15461821413582838,35.2
בוא come,70,476,1.006e-78,30.43,14.71,0.2942863669275592,0.14306939551365352,43.05
עבר pass,12,82,4.807e-14,5.22,14.63,0.050439178705651136,0.14095874736525144,31.68
הלך walk,31,242,1.301e-32,13.48,12.81,0.12955362376305898,0.12316610463948995,29.64
עלה ascend,17,142,7.599e-18,7.39,11.97,0.07081530358928387,0.11445124754461486,25.68
שׁוב return,14,140,8.206e-14,6.09,10.0,0.057747043409302486,0.09465901785272737,20.69
פנה turn,2,22,6.856e-03,0.87,9.09,0.008200013791676723,0.08528778913394298,17.69
ברח run away,1,12,6.594e-02,0.43,8.33,0.004075224976726546,0.07768876838386328,16.01
יצא go out,13,193,9.871e-11,5.65,6.74,0.0520609936903079,0.06198476294717808,13.37
נסע pull out,4,71,7.254e-04,1.74,5.63,0.015730915767334413,0.05075929646651353,10.64
סור turn aside,3,61,5.077e-03,1.3,4.92,0.011606126952384235,0.04357829435536562,9.18
שׁלח send,2,45,2.699e-02,0.87,4.44,0.007630029652104955,0.03881995323887916,8.22
פגע meet,1,26,1.374e-01,0.43,3.85,0.0037282781091611213,0.0328150249986723,7.04
חנה encamp,3,86,1.302e-02,1.3,3.49,0.010986578974588835,0.029278229029797945,6.41
עשׂה make,1,181,1.000e+00,0.43,0.55,-0.0001129193531703614,-0.00014331465183086561,0.97
"עבד work, serve",0,10,1.000e+00,0.0,0.0,-0.0002478191911181602,-0.005668934240362812,0.0
חפץ desire,0,10,1.000e+00,0.0,0.0,-0.0002478191911181602,-0.005668934240362812,0.0
"צרר wrap, be narrow",0,10,1.000e+00,0.0,0.0,-0.0002478191911181602,-0.005668934240362812,0.0
צור bind,0,11,1.000e+00,0.0,0.0,-0.0002726011102299762,-0.005669073969091222,0.0
קצף be angry,0,11,1.000e+00,0.0,0.0,-0.0002726011102299762,-0.005669073969091222,0.0
נשׂא lift,0,11,1.000e+00,0.0,0.0,-0.0002726011102299762,-0.005669073969091222,0.0
דרשׁ inquire,0,11,1.000e+00,0.0,0.0,-0.0002726011102299762,-0.005669073969091222,0.0
זעק cry,0,12,1.000e+00,0.0,0.0,-0.0002973830293417922,-0.005669213704707912,0.0
טוב be good,0,12,1.000e+00,0.0,0.0,-0.0002973830293417922,-0.005669213704707912,0.0
נטה extend,0,12,1.000e+00,0.0,0.0,-0.0002973830293417922,-0.005669213704707912,0.0
פשׂה spread,0,12,1.000e+00,0.0,0.0,-0.0002973830293417922,-0.005669213704707912,0.0
משׁל rule,0,13,1.000e+00,0.0,0.0,-0.00032216494845360824,-0.00566935344721339,0.0
בכה weep,0,13,1.000e+00,0.0,0.0,-0.00032216494845360824,-0.00566935344721339,0.0
נשׁק kiss,0,14,1.000e+00,0.0,0.0,-0.0003469468675654243,-0.005669493196608164,0.0
חזק be strong,0,15,1.000e+00,0.0,0.0,-0.00037172878667724027,-0.005669632952892746,0.0
