,freq. in pattern,freq. in corpus,p-value Fisher Exact,Attraction (%),Reliance (%),ΔP Attraction,ΔP Reliance,Odds Ratio
צעק cry,17,17,6.126e-24,0.97,100.0,0.009675583380762664,0.9571058794527302,inf
זעק cry,11,12,1.121e-14,0.63,91.67,0.006234914999188235,0.8736299400213622,244.6
נגשׁ approach,18,20,4.595e-23,1.02,90.0,0.010193222144079373,0.8571273605837977,200.92
שׁלח send,36,45,3.503e-41,2.05,80.0,0.02025766128751483,0.7575449589264129,90.22
פנה turn,17,22,1.312e-19,0.97,77.27,0.009546800380118748,0.729827864443249,75.86
קרב approach,24,32,1.217e-26,1.37,75.0,0.01345359432475232,0.7072626387176325,67.2
אמר say,928,1313,0.000e+00,52.82,70.68,0.5182567311473452,0.6856675702771268,111.77
בוא come,269,476,8.091e-240,15.31,56.51,0.1477702619748217,0.5280243698736165,33.73
שׁוב return,62,140,1.442e-46,3.53,44.29,0.03327840693155993,0.40094526906257283,18.17
שׁמע hear,56,142,7.820e-39,3.19,39.44,0.029657442349084025,0.35230388264303925,14.83
קרא call,57,148,7.934e-39,3.24,38.51,0.03009781131201438,0.34309131063100495,14.27
עלה ascend,45,142,9.898e-27,2.56,31.69,0.023113448148350393,0.2745670859976874,10.49
ירד descend,25,84,9.003e-15,1.42,29.76,0.012709159681758661,0.25485150354279695,9.48
הלך walk,55,242,2.189e-24,3.13,22.73,0.026486873772502667,0.18508135394600442,6.68
צור bind,2,11,7.950e-02,0.11,18.18,0.0009064945259895017,0.13856068261924662,4.91
ברח run away,2,12,9.275e-02,0.11,16.67,0.0008807379258607187,0.1234081012242215,4.42
יצא go out,32,193,6.967e-11,1.82,16.58,0.014066050213642716,0.12309346014157398,4.45
נוס flee,8,49,1.124e-03,0.46,16.33,0.0034971951033140915,0.12011528021763067,4.33
בכה weep,2,13,1.066e-01,0.11,15.38,0.0008549813257319357,0.1105865221076343,4.02
עבר pass,11,82,8.062e-04,0.63,13.41,0.0044319529901734244,0.09103523035230353,3.44
שׂים put,4,38,8.073e-02,0.23,10.53,0.0014008834499184754,0.06202618078345033,2.6
סור turn aside,6,61,4.801e-02,0.34,9.84,0.001998298774362581,0.055148494142482685,2.42
דרשׁ inquire,1,11,3.855e-01,0.06,9.09,0.00031158596228644434,0.04762694356246401,2.21
קצף be angry,1,11,3.855e-01,0.06,9.09,0.00031158596228644434,0.04762694356246401,2.21
חזק be strong,1,15,4.852e-01,0.06,6.67,0.00020855956177131234,0.02338025160023336,1.58
קום arise,3,50,4.780e-01,0.17,6.0,0.0004968956846700221,0.01672555018257179,1.41
נגע touch,2,35,6.634e-01,0.11,5.71,0.0002883361228987097,0.013859753584024179,1.34
"דבק cling, cleave to",1,18,5.493e-01,0.06,5.56,0.00013128976138496336,0.01226593914691735,1.3
נתן give,8,172,8.497e-01,0.46,4.65,0.0003291332874737823,0.0032302619084615264,1.08
נפל fall,3,75,1.000e+00,0.17,4.0,-0.00014701931854955302,-0.0033011578245735265,0.92
פגע meet,1,26,1.000e+00,0.06,3.85,-7.476303964530065e-05,-0.004836617175112093,0.88
עמד stand,3,79,1.000e+00,0.17,3.8,-0.00025004571906468514,-0.0053307506210666655,0.87
לקח take,2,60,1.000e+00,0.11,3.33,-0.0003555788803208653,-0.009976473685076419,0.76
חרה be hot,1,46,7.231e-01,0.06,2.17,-0.0005898950422209607,-0.021580388017950765,0.49
חנה encamp,1,86,1.876e-01,0.06,1.16,-0.0016201590473722807,-0.03173440041163985,0.26
ישׁב sit,2,172,3.687e-02,0.11,1.16,-0.0032403180947445614,-0.03180193712125136,0.26
"צרר wrap, be narrow",0,10,1.000e+00,0.0,0.0,-0.00025756600128783,-0.043305728088336784,0.0
חפץ desire,0,10,1.000e+00,0.0,0.0,-0.00025756600128783,-0.043305728088336784,0.0
"עבד work, serve",0,10,1.000e+00,0.0,0.0,-0.00025756600128783,-0.043305728088336784,0.0
נשׂא lift,0,11,1.000e+00,0.0,0.0,-0.000283322601416613,-0.0433067954943186,0.0
פשׂה spread,0,12,1.000e+00,0.0,0.0,-0.000309079201545396,-0.04330786295292088,0.0
