,freq. in pattern,freq. in corpus,p-value Fisher Exact,Attraction (%),Reliance (%),ΔP Attraction,ΔP Reliance,Odds Ratio
תקע blow,27,27,7.335e-43,2.39,100.0,0.023914968999114262,0.9728270250277401,inf
רחץ wash,16,16,1.161e-25,1.42,100.0,0.0141718334809566,0.972563230291377,inf
פשׂה spread,12,12,2.030e-19,1.06,100.0,0.010628875110717449,0.9724673403993098,inf
חפץ desire,10,10,2.671e-16,0.89,100.0,0.008857395925597875,0.9724194025436261,inf
"דבק cling, cleave to",17,18,5.583e-26,1.51,94.44,0.015032226458556815,0.9170309743724594,603.13
פגע meet,24,26,1.121e-35,2.13,92.31,0.021207056991515753,0.8958306463237916,428.43
משׁל rule,12,13,2.572e-18,1.06,92.31,0.010603528495757877,0.8955435848137172,423.84
נגע touch,32,35,6.509e-47,2.83,91.43,0.028267627117034483,0.8872306917193098,383.59
רעע be evil,15,17,5.456e-22,1.33,88.24,0.013235400658477668,0.8548908433088507,265.6
ישׁב sit,129,172,3.123e-164,11.43,75.0,0.11317050299695099,0.7252536500866122,118.23
חנה encamp,64,86,4.464e-81,5.67,74.42,0.05612970839471581,0.7178871527937298,107.71
בחר examine,20,28,1.647e-25,1.77,71.43,0.01751201893151917,0.6869394599088341,88.92
ראה see,14,20,5.100e-18,1.24,70.0,0.012248274606079591,0.6725112173955919,82.55
חרה be hot,30,46,9.512e-36,2.66,65.22,0.02616664193744047,0.6250622098660558,67.28
דרשׁ inquire,6,11,1.875e-07,0.53,54.55,0.005187704480560863,0.5177746755967653,42.15
יטב be good,13,24,1.050e-14,1.15,54.17,0.011235801938721942,0.5141505169551424,41.77
שׁאל ask,15,29,2.276e-16,1.33,51.72,0.012931241278962802,0.489771155159234,37.93
"עבד work, serve",5,10,3.705e-06,0.44,50.0,0.0043019648880010765,0.4722961648427487,35.1
שׁכן dwell,8,17,6.809e-09,0.71,47.06,0.00685779720584215,0.442953574872572,31.28
מלך be king,35,77,6.964e-34,3.1,45.45,0.029936327911290528,0.4275364433122734,30.02
שׁמע hear,62,142,9.879e-58,5.49,43.66,0.05288812554194105,0.4102349507529848,28.6
טוב be good,5,12,1.112e-05,0.44,41.67,0.004251271658081933,0.3889614657793115,25.07
שׁכב lie down,7,18,3.081e-07,0.62,38.89,0.005921364383363218,0.36122889480546516,22.37
עבר pass,30,82,8.190e-26,2.66,36.59,0.025254163798895873,0.33871785606744953,20.68
הלך walk,83,242,1.253e-66,7.35,34.3,0.06948627440389038,0.3170456081980849,19.61
עמד stand,24,79,9.622e-19,2.13,30.38,0.019863686398658428,0.2765155386208304,15.56
שׂים put,11,38,4.450e-09,0.97,28.95,0.009058776914249212,0.2618987039421759,14.37
חזק be strong,4,15,6.363e-04,0.35,26.67,0.0032641456056838563,0.23893476635360433,12.75
אכל eat,12,48,5.612e-09,1.06,25.0,0.009716396972172851,0.222442887452509,11.76
נשׂא lift,2,11,3.600e-02,0.18,18.18,0.0015433596504834256,0.15403971936963484,7.78
נטה extend,2,12,4.242e-02,0.18,16.67,0.0015180130355238533,0.1388875195135979,7.0
חטא miss,5,39,4.339e-03,0.44,12.82,0.0035669130541734844,0.10048147677331506,5.16
בוא come,57,476,2.576e-20,5.05,11.97,0.03986692510784715,0.09301873145408365,4.95
נפל fall,9,75,2.343e-04,0.8,12.0,0.006298779745706326,0.09235045794554027,4.8
עלה ascend,17,142,4.897e-07,1.51,11.97,0.011889246203569868,0.09222078265836363,4.81
קום arise,5,50,1.244e-02,0.44,10.0,0.003288100289618191,0.07226882463238923,3.9
