,freq. in pattern,freq. in corpus,p-value Fisher Exact,Attraction (%),Reliance (%),ΔP Attraction,ΔP Reliance,Odds Ratio
"צרר wrap, be narrow",10,10,7.665e-16,0.8,100.0,0.007974481658692184,0.9693384600216899,inf
זבח slaughter,23,24,3.557e-34,1.83,95.83,0.01831588063842571,0.9279817380870194,734.79
ילד bear,16,17,1.039e-23,1.28,94.12,0.012733743477341183,0.910657550336787,508.26
נשׁק kiss,13,14,2.998e-19,1.04,92.86,0.010341398979733527,0.8979808152801646,411.97
עשׂה make,165,181,2.517e-232,13.16,91.16,0.13117211254336003,0.8846474315976808,372.27
חטא miss,28,39,4.720e-34,2.23,71.79,0.02204884970210866,0.6877092191449787,81.63
נתן give,122,172,2.831e-144,9.73,70.93,0.09601731740772895,0.6812894574794405,84.66
נשׂא lift,7,11,7.832e-09,0.56,63.64,0.005480428454819273,0.6056273961920853,55.19
קרא call,74,148,5.789e-71,5.9,50.0,0.057129553208414924,0.47081663946183905,33.27
טוב be good,6,12,6.775e-07,0.48,50.0,0.004632125935817426,0.4692383534631501,31.51
"עבד work, serve",5,10,6.188e-06,0.4,50.0,0.0038601049465145218,0.46921522232081236,31.48
יטב be good,11,24,4.052e-11,0.88,45.83,0.00844137652919932,0.4276858655094761,26.76
עמד stand,28,79,1.630e-22,2.23,35.44,0.0210317626394561,0.32416101698358335,17.59
שׁאל ask,10,29,8.982e-09,0.8,34.48,0.007491365303932217,0.31415168060188586,16.63
נטה extend,4,12,3.682e-04,0.32,33.33,0.0029863752509463612,0.3025223892860077,15.73
חרה be hot,15,46,4.291e-12,1.2,32.61,0.011173480014482541,0.29552153319432645,15.35
אמר say,377,1313,1.770e-265,30.06,28.71,0.2768381212666254,0.26479557477253235,17.63
קרב approach,6,32,3.912e-04,0.48,18.75,0.004123582404491145,0.15672318125770654,7.27
דרשׁ inquire,2,11,4.361e-02,0.16,18.18,0.0013660517426416104,0.1509587009081722,6.98
עבר pass,14,82,2.088e-07,1.12,17.07,0.009435226315659701,0.1401144233664559,6.52
הלך walk,40,242,4.896e-18,3.19,16.53,0.026761636968373293,0.13519505689244726,6.38
שׁוב return,23,140,6.378e-11,1.83,16.43,0.01536632815673328,0.13384706140010033,6.26
נוס flee,8,49,1.189e-04,0.64,16.33,0.005337071087734871,0.13252492174428795,6.15
שׁמע hear,19,142,8.927e-08,1.52,13.38,0.012023972433858521,0.10326374667391092,4.9
קום arise,6,50,4.284e-03,0.48,12.0,0.0036658932262974915,0.08920951347083786,4.29
רעע be evil,2,17,9.556e-02,0.16,11.76,0.001213488683243726,0.08678301346422952,4.19
לקח take,7,60,2.452e-03,0.56,11.67,0.004234496803069883,0.08589325962851455,4.16
יצא go out,21,193,6.701e-07,1.67,10.88,0.012372937113847567,0.07828017606497023,3.88
בחר examine,3,28,5.436e-02,0.24,10.71,0.0017566650834498036,0.0762950985986938,3.77
נפל fall,8,75,2.198e-03,0.64,10.67,0.004675964497010705,0.07590655113108023,3.76
שׂים put,4,38,2.913e-02,0.32,10.53,0.0023252686602221956,0.07443245544801229,3.7
ראה see,2,20,1.258e-01,0.16,10.0,0.0011372071535447835,0.06913367190966915,3.49
נגשׁ approach,2,20,1.258e-01,0.16,10.0,0.0011372071535447835,0.06913367190966915,3.49
משׁל rule,1,13,3.351e-01,0.08,7.69,0.0004923220470734496,0.046037425317170935,2.61
בכה weep,1,13,3.351e-01,0.08,7.69,0.0004923220470734496,0.046037425317170935,2.61
שׁכן dwell,1,17,4.136e-01,0.08,5.88,0.0003906133408081933,0.027934832259046846,1.96
בוא come,22,476,6.069e-02,1.75,4.62,0.005999921488016216,0.015499891673619533,1.53
פנה turn,1,22,4.988e-01,0.08,4.55,0.0002634774579766229,0.014562040523578988,1.49
ירא fear,1,26,5.580e-01,0.08,3.85,0.00016176875171136662,0.0075659866319694735,1.25
ירד descend,3,84,7.460e-01,0.24,3.57,0.00033274319573621536,0.0048238713728367515,1.16
חנה encamp,2,86,1.000e+00,0.16,2.33,-0.0005409864998319454,-0.007660819788115739,0.75
ישׁב sit,4,172,8.233e-01,0.32,2.33,-0.0010819729996638908,-0.0076771234382463464,0.75
שׁלח send,1,45,1.000e+00,0.08,2.22,-0.0003213476030486008,-0.008687810587309809,0.71
עלה ascend,3,142,8.051e-01,0.24,2.11,-0.0011420330451100014,-0.009807957537509928,0.68
אכל eat,1,48,1.000e+00,0.08,2.08,-0.00039762913274754314,-0.01007898718771073,0.67
נסע pull out,1,71,7.277e-01,0.08,1.41,-0.0009824541937727667,-0.01684536385700841,0.45
מלך be king,1,77,7.344e-01,0.08,1.3,-0.0011350172531706514,-0.017947439549710873,0.41
חפץ desire,0,10,1.000e+00,0.0,0.0,-0.0002542717656631408,-0.03090801538006507,0.0
קצף be angry,0,11,1.000e+00,0.0,0.0,-0.0002796989422294548,-0.030908777205393013,0.0
צור bind,0,11,1.000e+00,0.0,0.0,-0.0002796989422294548,-0.030908777205393013,0.0
פשׂה spread,0,12,1.000e+00,0.0,0.0,-0.0003051261187957689,-0.03090953906827705,0.0
זעק cry,0,12,1.000e+00,0.0,0.0,-0.0003051261187957689,-0.03090953906827705,0.0
ברח run away,0,12,1.000e+00,0.0,0.0,-0.0003051261187957689,-0.03090953906827705,0.0
חזק be strong,0,15,1.000e+00,0.0,0.0,-0.00038140764849471117,-0.03091182488229349,0.0
רחץ wash,0,16,1.000e+00,0.0,0.0,-0.0004068348250610252,-0.03091258689542967,0.0
צעק cry,0,17,1.000e+00,0.0,0.0,-0.0004322620016273393,-0.030913348946135833,0.0
"דבק cling, cleave to",0,18,1.000e+00,0.0,0.0,-0.00045768917819365336,-0.030914111034414753,0.0
שׁכב lie down,0,18,1.000e+00,0.0,0.0,-0.00045768917819365336,-0.030914111034414753,0.0
פגע meet,0,26,1.000e+00,0.0,0.0,-0.0006611065907241659,-0.030920209093598973,0.0
תקע blow,0,27,1.000e+00,0.0,0.0,-0.0006865337672904801,-0.03092097152015781,0.0
נגע touch,0,35,6.278e-01,0.0,0.0,-0.0008899511798209927,-0.030927072286482355,0.0
סור turn aside,0,61,2.668e-01,0.0,0.0,-0.0015510577705451587,-0.03094691641371141,0.0
