,freq. in pattern,freq. in corpus,p-value Fisher Exact,Attraction (%),Reliance (%),ΔP Attraction,ΔP Reliance,Odds Ratio
ירא fear,25,26,2.739e-43,3.48,96.15,0.03474542868434262,0.9444263203016532,1435.95
נסע pull out,66,71,1.446e-110,9.18,92.96,0.09166872895717904,0.9134583860200028,805.71
סור turn aside,51,61,5.988e-80,7.09,83.61,0.0706809905986418,0.8195802945325659,304.27
לקח take,50,60,3.033e-78,6.95,83.33,0.06929017001449715,0.8168237829656319,297.86
אכל eat,33,48,6.452e-47,4.59,68.75,0.045520790487670625,0.6705759362510485,127.79
ברח run away,8,12,4.343e-12,1.11,66.67,0.011026220996063115,0.6491414016925479,112.12
יצא go out,114,193,1.733e-149,15.86,59.07,0.15657175896988215,0.57569424907541,94.89
חזק be strong,8,15,5.387e-11,1.11,53.33,0.01095096323824258,0.5158067723354779,64.06
קום arise,22,50,1.183e-25,3.06,44.0,0.029895647111523867,0.4228037106483766,44.91
נטה extend,5,12,1.230e-06,0.7,41.67,0.006778501485808644,0.3990674554268343,39.87
נוס flee,15,49,4.155e-15,2.09,30.61,0.020009387506870282,0.2887538850933757,24.96
ירד descend,24,84,1.483e-22,3.34,28.57,0.03187453886306078,0.2685529444134807,22.91
שׁוב return,31,140,4.898e-25,4.31,22.14,0.04038107290767122,0.20441655421874005,16.43
עלה ascend,26,142,5.268e-19,3.62,18.31,0.033251368552033415,0.1659620930329753,12.86
דרשׁ inquire,2,11,1.551e-02,0.28,18.18,0.0025558678948276845,0.16414545992323223,12.35
נשׂא lift,2,11,1.551e-02,0.28,18.18,0.0025558678948276845,0.16414545992323223,12.35
בחר examine,4,28,1.427e-03,0.56,14.29,0.004961220274014299,0.12522632962047076,9.29
שׁאל ask,4,29,1.632e-03,0.56,13.79,0.004936134354740787,0.12029978648630953,8.91
נפל fall,9,75,7.249e-06,1.25,12.0,0.01086171458525003,0.10247216530476214,7.64
הלך walk,25,242,2.061e-12,3.48,10.33,0.029326870121264077,0.08610201715173095,6.58
ראה see,2,20,4.825e-02,0.28,10.0,0.0023300946213660784,0.08232335683644791,6.17
חטא miss,3,39,3.158e-02,0.42,7.69,0.003269368658587512,0.0592628149789682,4.64
בוא come,34,476,9.318e-12,4.73,7.14,0.03619992354202574,0.05434883273610645,4.43
עבר pass,5,82,1.536e-02,0.7,6.1,0.00502248713666282,0.043345980126467926,3.62
שׁכן dwell,1,17,2.621e-01,0.14,5.88,0.0009894458757684567,0.04112354173766142,3.47
עמד stand,4,79,5.190e-02,0.56,5.06,0.003681838391065198,0.032979898035369784,2.97
חנה encamp,4,86,6.675e-02,0.56,4.65,0.0035062369561506155,0.02885556311045363,2.71
