,freq. in pattern,freq. in corpus,p-value Fisher Exact,Attraction (%),Reliance (%),ΔP Attraction,ΔP Reliance,Odds Ratio
קצף be angry,10,11,8.182e-19,2.0,90.91,0.019935130363010912,0.8969886685742838,816.29
צור bind,9,11,3.337e-16,1.8,81.82,0.017914172901670522,0.8060549295175014,366.58
בכה weep,9,13,4.244e-15,1.8,69.23,0.017864273947053623,0.6801802058032185,183.28
מלך be king,41,77,8.364e-58,8.18,53.25,0.08093814616220517,0.5211109098283521,99.15
שׂים put,18,38,8.751e-25,3.59,47.37,0.03542915416640584,0.4617712271009014,74.65
נפל fall,34,75,6.595e-45,6.79,45.33,0.06684134288743937,0.4418044617802684,71.1
שׁכב lie down,8,18,2.004e-11,1.6,44.44,0.015718569099170982,0.43229081068051584,65.02
שׁכן dwell,7,17,7.326e-10,1.4,41.18,0.013722561115139049,0.3995867199338752,56.78
קום arise,14,50,9.965e-16,2.79,28.0,0.02704593059334289,0.2679848021316491,31.98
עמד stand,20,79,6.277e-21,3.99,25.32,0.03844814051944015,0.24128889343092888,28.21
עלה ascend,34,142,8.508e-34,6.79,23.94,0.06516972790777319,0.227888647413661,26.95
ישׁב sit,33,172,1.924e-29,6.59,19.19,0.062400286127179294,0.1802791733568136,20.26
נתן give,29,172,2.470e-24,5.79,16.86,0.05431645628181775,0.15692437400367165,17.16
חנה encamp,12,86,7.355e-10,2.4,13.95,0.022105834487557905,0.12745961702792352,13.27
חזק be strong,2,15,1.436e-02,0.4,13.33,0.003667672763054017,0.12103269488336169,12.35
עבר pass,10,82,7.270e-08,2.0,12.2,0.018163717474110934,0.10982776272207166,11.32
ירד descend,9,84,1.005e-06,1.8,10.71,0.016092861058153645,0.09499410905653188,9.76
ראה see,2,20,2.495e-02,0.4,10.0,0.003542925376511765,0.08769784527390169,8.92
נטה extend,1,12,1.385e-01,0.2,8.33,0.0017215637336389818,0.07100895571440308,7.29
טוב be good,1,12,1.385e-01,0.2,8.33,0.0017215637336389818,0.07100895571440308,7.29
חטא miss,3,39,1.230e-02,0.6,7.69,0.005089842768991595,0.06463982210720243,6.7
נשׁק kiss,1,14,1.597e-01,0.2,7.14,0.001671664779022081,0.059103586218553675,6.16
ילד bear,1,17,1.904e-01,0.2,5.88,0.0015968163470967299,0.046497632702779124,5.01
בוא come,24,476,8.700e-09,4.79,5.04,0.036627027873346894,0.03852668579524764,4.41
פנה turn,1,22,2.392e-01,0.2,4.55,0.001472068960554478,0.033127129280975436,3.82
אכל eat,2,48,1.185e-01,0.4,4.17,0.0028443400118751544,0.02935601388135063,3.49
בחר examine,1,28,2.939e-01,0.2,3.57,0.0013223720967037755,0.023385045688640894,2.97
הלך walk,8,242,1.087e-02,1.6,3.31,0.010129886182078097,0.020836730763715033,2.76
קרב approach,1,32,3.281e-01,0.2,3.12,0.001222574187469974,0.018919543773119607,2.58
שׁוב return,4,140,9.593e-02,0.8,2.86,0.004590903022178491,0.01628222427886144,2.36
נגע touch,1,35,3.527e-01,0.2,2.86,0.0011477257555446228,0.016240060036148526,2.36
שׁמע hear,4,142,9.973e-02,0.8,2.82,0.00454100406756159,0.015879202017246904,2.33
יצא go out,5,193,9.198e-02,1.0,2.59,0.005289538186171007,0.013626164308575783,2.14
שׁלח send,1,45,4.284e-01,0.2,2.22,0.000898230982460119,0.009887811683701859,1.82
קרא call,3,148,4.348e-01,0.6,2.03,0.0023703497423705026,0.007953902856707428,1.66
