,0
<BD[_hif,act
<BD[_hof,act
<BD[_nif,act
<BD[_pual,act
<BD[_qal,act
<BR[_hif,act
<BR[_piel,act
<BR[_qal,act
<CQ[_qal,sta
<FH[_nif,act
<FH[_qal,act
<LH[_hif,act
<LH[_hof,act
<LH[_nif,act
<LH[_qal,act
<LL[_piel,sta
<LM[_hif,sta
<MD[_hif,sta
<MD[_hof,sta
<MD[_qal,sta
<NH=[_piel,sta
<NH=[_pual,sta
<NN[_piel,act
<RH[_hif,sta
<RK[_hif,sta
<RK[_qal,sta
<RL[_qal,sta
<ZB[_nif,sta
<ZB[_qal,sta
>BD[_hif,sta
>BD[_piel,sta
>BD[_qal,sta
>BH[_qal,sta
>HB[_qal,sta
>KL[_hif,act
>KL[_nif,act
>KL[_pasq,act
>KL[_qal,act
>MR[_hif,act
>MR[_nif,act
>MR[_qal,act
>PH[_nif,act
>PH[_qal,act
>SP[_hit,sta
>SP[_nif,sta
>SP[_piel,sta
>SP[_qal,sta
BDL[_hif,sta
BLL[_qal,act
BQC[_piel,act
BW>[_hif,act
BW>[_hof,act
BW>[_qal,act
BYR[_qal,sta
C>R[_nif,sta
CB<[_nif,act
CBR[_nif,sta
CBR[_piel,sta
CBR[_qal,sta
CBT[_hif,sta
CBT[_qal,sta
CKB[_hif,sta
CKB[_hof,sta
CKB[_qal,sta
CKL[_piel,sta
CKL[_qal,sta
CLM[_piel,sta
CLX[_hif,act
CLX[_piel,act
CM<[_hif,sta
CM<[_nif,sta
CM<[_piel,sta
CM<[_qal,sta
CMD[_hif,sta
CMM[_hif,sta
CMM[_hof,sta
CMM[_nif,sta
CMM[_qal,sta
CMR[_hit,act
CMR[_nif,act
CMR[_qal,act
CPK[_nif,sta
CPK[_pual,sta
CPK[_qal,sta
CPV[_nif,act
CPV[_qal,act
CQR[_piel,act
CQY[_piel,sta
CWB[_hif,act
CWB[_hof,act
CWB[_qal,act
CXT[_hif,sta
CXV[_nif,sta
CXV[_qal,sta
DBR[_piel,act
DWB[_hif,sta
FB<[_qal,sta
FJM[_hof,sta
FJM[_qal,sta
FMX[_piel,act
FMX[_qal,act
FN>[_qal,sta
FRP[_nif,sta
FRP[_pual,sta
FRP[_qal,sta
FRV[_qal,act
G<L[_nif,sta
G<L[_qal,sta
G>L[_nif,sta
G>L[_qal,sta
GLH[_piel,sta
GLX[_piel,act
GNB[_hit,sta
GNB[_nif,sta
GNB[_piel,sta
GNB[_pual,sta
GNB[_qal,sta
GRC[_piel,act
GRC[_pual,act
GRC[_qal,act
GWR[_hit,sta
GWR[_qal,sta
GZL[_qal,sta
HDR[_qal,sta
HJH[_nif,sta
HJH[_qal,sta
HLK[_hif,act
HLK[_hit,act
HLK[_piel,act
HLK[_qal,act
HRG[_qal,sta
JCB[_hif,sta
JCB[_qal,sta
JD<[_hif,sta
JD<[_hit,sta
JD<[_hof,sta
JD<[_nif,sta
JD<[_poal,sta
JD<[_qal,sta
JDH[_hit,act
JKX[_hif,act
JLD[_hif,act
JLD[_nif,act
JNH[_hif,sta
JR>[_nif,sta
JR>[_piel,sta
JR>[_qal,sta
JRC[_hif,sta
JRC[_nif,sta
JRC[_piel,sta
JRC[_qal,sta
JSP[_hif,sta
JSP[_nif,sta
JSP[_qal,sta
JSR[_nif,sta
JSR[_piel,sta
JTR[_hif,sta
JTR[_nif,sta
JY>[_hif,act
JY>[_hof,act
JY>[_qal,act
JYQ[_hof,sta
KBS[_piel,sta
KCL[_qal,act
KLH[_piel,sta
KN<[_nif,sta
