,clause,actor,anno,comment
439673,439673,,,
439676,439676,,,
439682,439682,,,
439696,439696,,,
439698,439698,,,
439716,439716,,,
439717,439717,,,
439727,439727,,,
439737,439737,,,
439774,439774,,,
439779,439779,,,
439784,439784,688732,y,
439787,439787,,,
439788,439788,688744,y,
439794,439794,,,
439799,439799,,,
439802,439802,,,
439820,439820,688842,y,
439823,439823,688848,y,
439859,439859,,,
439862,439862,688965,y,
439869,439869,,,
439871,439871,688993,y,
439875,439875,689008,y,
439876,439876,689011,y,
439883,439883,689034,y,
439888,439888,,,
439899,439899,,,
439901,439901,,,
439917,439917,,,
439919,439919,689153,y,
439923,439923,,,
439927,439927,689173,y,
439929,439929,,,
439931,439931,,,
439932,439932,,,
439933,439933,689194,y,
439934,439934,,,
439937,439937,,,
439947,439947,,,
439968,439968,689307,y,
439983,439983,689346,y,
439987,439987,689358,y,
439992,439992,689370,y,
440000,440000,,,
440012,440012,,,
440013,440013,,,
440019,440019,689444,y,
440028,440028,689471,y,
440031,440031,,,
440036,440036,,,
440041,440041,,,
440045,440045,,,
440047,440047,,,
440049,440049,,,
440058,440058,689560,y,
440061,440061,,,
440063,440063,,,
440075,440075,,,
440082,440082,689633,y,
440085,440085,689644,y,
440090,440090,,,
440092,440092,,,
440104,440104,,,
440125,440125,,,
440130,440130,,,
440163,440163,,,
440164,440164,,,
440171,440171,,,
440172,440172,,,
440175,440175,,,
440179,440179,,,
440183,440183,,,
440187,440187,,,
440199,440199,,,
440202,440202,,,
440226,440226,,,
440231,440231,,,
440232,440232,,,
440249,440249,,,
440256,440256,,,
440266,440266,,,
440285,440285,,,
440311,440311,,,
440315,440315,,,
440319,440319,,,
440324,440324,,,
440326,440326,,,
440339,440339,,,
440345,440345,,,
440361,440361,690460,y,
440370,440370,,,
440388,440388,690540,y,
440389,440389,690542,y,
440390,440390,,,
440405,440405,,,
440409,440409,,,
440413,440413,,,
440460,440460,,,
440461,440461,,,
440474,440474,?,,Can the land observe the sabbath as an activity?
440478,440478,,,
440483,440483,,,
440484,440484,,,
440485,440485,,,
440486,440486,,,
440490,440490,,,
440495,440495,,,
440501,440501,,,
440506,440506,,,
440521,440521,690951,y,
440526,440526,,,
440529,440529,,,
440544,440544,,,
440550,440550,,,
440551,440551,,,
440559,440559,,,
440565,440565,,,
440566,440566,,,
440567,440567,,,
440569,440569,,,
440577,440577,,,
440580,440580,,,
440587,440587,,,
440591,440591,,,
440593,440593,691189,y,
440594,440594,,,
440600,440600,,,
440601,440601,,,
440604,440604,,,
440613,440613,691260,y,
440615,440615,,,
440620,440620,,,
440625,440625,,,
440627,440627,,,
440631,440631,,,
440632,440632,,,
440635,440635,,,
440639,440639,,,
440643,440643,,,
440644,440644,,,
440650,440650,,,
440664,440664,691418,y,
440672,440672,,,
440673,440673,,,
440675,440675,,,
440677,440677,,,
440682,440682,,,
440685,440685,,,
440693,440693,,,
440695,440695,,,
440696,440696,,,
440699,440699,,,
440702,440702,691558,y,
440704,440704,,,
440705,440705,,,
440720,440720,691618,y,
440726,440726,,,
440730,440730,,,
440731,440731,691658,y,
440751,440751,,,
440752,440752,691740,y,
440761,440761,,,
440766,440766,,,
440767,440767,,,
440770,440770,,,
440771,440771,,,
440772,440772,,,
440775,440775,,,
440776,440776,,,
440777,440777,,,
440779,440779,,,
440780,440780,,,
440785,440785,,,
440790,440790,,,
440791,440791,,,
440803,440803,,,
440805,440805,,,
440806,440806,,,
440808,440808,,,
440812,440812,,,
440813,440813,,,
440815,440815,,,
440816,440816,,,
440817,440817,,,
440821,440821,,,
440823,440823,,,
