,clause,Act_phr,Act_vol,Act_aff,Und1_phr,Und1_vol,Und1_aff,Und2_phr,Und2_vol,Und2_aff,comment
0,439650,688348.0,y,n,688349.0,n,n,,,,
1,439651,688350.0,y,n,,,,,,,
2,439652,688351.0,y,n,688352.0,n,n,,,,
3,439653,688354.0,y,n,688355.0,n,n,,,,
4,439655,688360.0,y,n,688358.0,n,n,,,,
5,439656,688361.0,y,n,,,,,,,
6,439658,688363.0,y,n,688365.0,n,y,,,,
7,439659,688368.0,y,n,,,,,,,
8,439660,688374.0,y,n,688374.0,n,y,688372.0,n,n,
9,439661,688375.0,y,n,688376.0,n,y,688377.0,n,n,
10,439662,,,,688378.0,n,n,688380,n,y,
11,439663,688382.0,y,n,688381.0,n,y,,,,
12,439664,,,,688385.0,n,y,,,,
13,439665,688389.0,y,n,688390.0,n,y,,,,
14,439666,688392.0,y,n,688391.0,n,y,,,,
15,439667,688396.0,y,n,688396.0,n,y,688397.0,n,n,It is difficult to know whether YHWH is recipient and therefore affected by the gift or he is merely the endpoint of the movement and therefore not affected.
16,439668,688401.0,y,n,688403.0,n,y,688402.0,n,n,
17,439669,688406.0,y,n,688407.0,n,y,688408.0,n,n,
18,439670,688410.0,y,n,688411.0,n,y,688412.0,n,n,
19,439671,688415.0,y,n,688417.0,n,y,688418.0,n,n,Is Undergoer2 involved as recipient?
20,439672,688420.0,y,n,688422.0,?,?,,,,
21,439673,688425.0,n,n,,,,,,,
22,439674,688430.0,y,n,688429.0,n,n,,,,
23,439676,688432.0,y,y,688434.0,n,n,,,,
24,439677,688435.0,y,n,688437.0,n,y,,,,
25,439678,688441.0,y,n,688441.0,n,y,688439.0,n,n,
26,439679,688442.0,y,n,688443.0,n,y,688444.0,y,?,
27,439680,,,,688447.0,n,y,,,,
28,439682,688451.0,y,y,688453.0,n,n,,,,
29,439683,688454.0,y,y,688456.0,n,y,,,,Undergoer1 is probalby not affected because it is not specific as to a portion of blood.
30,439684,688458.0,y,n,688459.0,n,y,688460.0,n,n,Undergoer2 is probably not directly affected.
31,439685,688461.0,y,y,688463.0,n,y,,,,
32,439686,688465.0,y,n,688466.0,n,y,688467.0,n,n,
33,439689,688473.0,y,n,688474.0,n,y,688476.0,n,n,
34,439690,688477.0,n,n,688478.0,y,y,,,,If souls represent human beings then the Undergoer is volitional.
35,439692,688481.0,n,n,688482.0,y,y,,,,
36,439693,688485.0,y,n,688486.0,n,n,,,,
37,439694,688487.0,y,y,688490.0,n,n,,,,Undergoer not specific enough to be affected
38,439695,688492.0,y,y,688498.0,n,n,,,,
39,439696,688493.0,y,y,688495.0,n,n,,,,
40,439698,688501.0,y,y,688503.0,n,n,,,,
41,439699,688504.0,y,n,688506.0,n,n,,,,Undergoer not affected because not specific
42,439700,688507.0,n,n,688507.0,n,y,,,,Actor needs to be deleted
43,439701,688510.0,y,n,688511.0,n,y,,,,
44,439702,688513.0,y,n,688513.0,n,y,688514.0,n,y,Undergoer2 is Instrument
45,439706,688521.0,y,n,688522.0,n,n,,,,
