,0,1,2
MWV[,ACT,MOTION,
>BD[,?,EXTINCTION,
FB<[,STA,PHYSICAL CONDITION,
MWT[,STA,EXTINCTION,It is a process toward being dead probably an accomplishment
JD<[,STA,COGNITIVE,
FRV[,STA,APPEARENCE,causative
G>L[,STA,TRANSFER,The verb implies causation of being free or causation of possession
>HB[,STA,EMOTIONAL,Is it active or stative? Probably stative
<CQ[,?,COERCION,
JRC[,?,TRANSFER,
NVR=[,STA,EMOTIONAL,
QYR=[,?,TRANSFER,Is it similar to gather or should the verb be understood more as cutting down?
ZMR=[,?,TRANSFER,Is it gathering or cutting?
LBC[,?,PHYSICAL APPEARENCE,Is it a process or a state of being? Causative
CMM[,STA,EMOTIONAL,It is stative but it does not mean desolate but rather appalled
MKR[,STA,TRANSFER,Causative of posssion
RMF[,ACT,MOTION,
YRR=[,STA,EMOTIONAL,
<RL[,STA,WORK,Causative of being
CPV[,ACT,SOCIAL INTERACTION,
BYR[,?,TRANSFER,
RYH=[,?,EMOTIONAL,This interpretation does not fit all cases
ZNH[,ACT,SOCIAL INTERACTION,
VHR[,STA,CULTIC,The verb often denotes a process until being clean
M>S[,?,EMOTIONAL,
>BH[,STA,EMOTIONAL,Desire
>MR[,ACT,COMMUNICATION,
HRG[,STA,EXTINCTION,Causative
G<L[,STA,EMOTIONAL,
JR>[,STA,EMOTIONAL,
MWK[,STA,EXISTENTIAL,
PRC[,?,COMMUNICATION,
PRM[,?,EXTINCTION,causative
QNH[,STA,TRANSFER,Cause someone not to have
>PH[,ACT,CREATION,
YWD[,?,TRANSFER,Could be causative of possession
SMK[,STA,MOTION,Causation of location
NQM[,?,SOCIAL INTERACTION,
GNB[,STA,TRANSFER,Cause someone not to have
RB<=[,?,SOCIAL INTERACTION,
KCL[,ACT,MOTION,Probably a way of moving but could also be a kind of falling
ML>[,STA,ABSTRACT,
RDH[,STA,COERCION,
HDR[,?,SOCIAL INTERACTION,causative
XJH[,STA,EXISTENTIAL,
N>P[,?,SOCIAL INTERACTION,
XGG[,ACT,SOCIAL INTERACTION,The verb means celebrate in this context
VM>[,STA,CULTIC,Can also denote a process
ZKR[,STA,COGNITIVE,
SPR[,ACT,COGNITIVE,Perhaps stative because it is an internal activity
QRX[,?,APPEARENCE,causative
FN>[,STA,EMOTIONAL,
QJ>[,ACT,TRANSFER,Similar to expel or drive out. Causation of activity
JSP[,?,ABSTRACT,Difficult verb. causative
RGM[,STA,EXTINCTION,Probably causation of not being. The instrumental phrase modifies the causative event.
TMM[,STA,EXISTENTIAL,
GZL[,?,TRANSFER,causative
CBR[,STA,CREATION,Causative
NQB[,ACT,COMMUNICATION,
