lex,new_Aktionsart,class,comment
MWV[,act,MOTION,
>BD[,sta,EXTINCTION,
FB<[,sta,PHYSICAL CONDITION,
MWT[,sta,EXTINCTION,It is a process toward being dead probably an accomplishment
JD<[,sta,COGNITIVE,
FRV[,act,APPEARENCE,
G>L[,sta,TRANSFER,The verb implies causation of being free or causation of possession
>HB[,sta,EMOTIONAL,Is it active or stative? Probably stative
<CQ[,sta,COERCION,
JRC[,sta,TRANSFER,
NVR=[,sta,EMOTIONAL,
QYR=[,sta,TRANSFER,Is it similar to gather or should the verb be understood more as cutting down?
ZMR=[,sta,TRANSFER,Is it gathering or cutting?
LBC[,sta,PHYSICAL APPEARENCE,Is it a process or a state of being? Causative
CMM[,sta,EMOTIONAL,It is stative but it does not mean desolate but rather appalled
MKR[,sta,TRANSFER,Causative of posssion
RMF[,act,MOTION,
YRR=[,sta,EMOTIONAL,
<RL[,sta,WORK,Causative of being
CPV[,act,SOCIAL INTERACTION,
BYR[,sta,TRANSFER,
RYH=[,sta,EMOTIONAL,This interpretation does not fit all cases
ZNH[,act,SOCIAL INTERACTION,
VHR[,sta,CULTIC,The verb often denotes a process until being clean
M>S[,sta,EMOTIONAL,
>BH[,sta,EMOTIONAL,Desire
HRG[,sta,EXTINCTION,Causative
G<L[,sta,EMOTIONAL,
MWK[,sta,EXISTENTIAL,
PRC[,act,COMMUNICATION,
PRM[,sta,EXTINCTION,causative
QNH[,sta,TRANSFER,Cause someone not to have
>PH[,act,CREATION,
YWD[,act,TRANSFER,Could be causative of possession
SMK[,sta,MOTION,Causation of location
NQM[,act,SOCIAL INTERACTION,
GNB[,sta,TRANSFER,Cause someone not to have
RB<=[,act,SOCIAL INTERACTION,
KCL[,act,MOTION,Probably a way of moving but could also be a kind of falling
ML>[,sta,ABSTRACT,
RDH[,sta,COERCION,
HDR[,sta,SOCIAL INTERACTION,causative
XJH[,sta,EXISTENTIAL,
N>P[,act,SOCIAL INTERACTION,
XGG[,act,SOCIAL INTERACTION,The verb means celebrate in this context
VM>[,sta,CULTIC,Can also denote a process
ZKR[,sta,COGNITIVE,
SPR[,act,COGNITIVE,Perhaps stative because it is an internal activity
QRX[,act,APPEARENCE,causative
FN>[,sta,EMOTIONAL,
QJ>[,act,TRANSFER,Similar to expel or drive out. Causation of activity
JSP[,sta,ABSTRACT,Difficult verb. causative
RGM[,sta,EXTINCTION,Probably causation of not being. The instrumental phrase modifies the causative event.
TMM[,sta,EXISTENTIAL,
GZL[,sta,TRANSFER,causative
CBR[,sta,CREATION,Causative
NQB[,act,COMMUNICATION,
CBT[,sta,,
HJH[,sta,,
CXV[,sta,,
CPK[,sta,,
PQD[,act,,
<RK[,sta,,
ZWB[,sta,,
ZRQ[,act,,
ZR<[,act,,
MY>[,act,,
QWY[,sta,,
YR<[,sta,,
GRC[,act,,
NV<[,sta,,
RDP[,act,,
M<L[,sta,,
LJN[,sta,,
GWR[,sta,,
>SP[,sta,,
CMR[,act,,
FRP[,sta,,
BLL[,act,,
PR<[,sta,,
FMX[,act,,
<ZB[,sta,,
