lex,Aktionsart,evaluation,lexemes,new_Aktionsart
"<BD[#עבד_work, serve",stative,?,<BD[,active
<BR[#עבר_pass,stative,?,<BR[,active
<FH[#עשׂה_make,active,EXP,<FH[,active
<LH[#עלה_ascend,active,EXP,<LH[,active
<MD[#עמד_stand,stative,EXP,<MD[,stative
>KL[#אכל_eat,active,EXP,>KL[,active
>MR[#אמר_say,active,EXP,>MR[,active
BW>[#בוא_come,active,EXP,BW>[,active
CKB[#שׁכב_lie down,stative,EXP,CKB[,stative
CM<[#שׁמע_hear,stative,EXP,CM<[,stative
CWB[#שׁוב_return,active,EXP,CWB[,active
FJM[#שׂים_put,stative,EXP,FJM[,stative
HLK[#הלך_walk,stative,?,HLK[,active
JCB[#ישׁב_sit,stative,EXP,JCB[,stative
JR>[#ירא_fear,active,?,JR>[,stative
JY>[#יצא_go out,active,EXP,JY>[,active
LQX[#לקח_take,active,?,LQX[,stative
NF>[#נשׂא_lift,active,EXP,NF>[,active
NG<[#נגע_touch,stative,?,NG<[,active
NGC[#נגשׁ_approach,active,EXP,NGC[,active
NPL[#נפל_fall,active,?,NPL[,stative
NTN[#נתן_give,active,?,NTN[,stative
NWS[#נוס_flee,active,EXP,NWS[,active
PNH[#פנה_turn,active,EXP,PNH[,active
QR>[#קרא_call,active,EXP,QR>[,active
QRB[#קרב_approach,active,EXP,QRB[,active
QWM[#קום_arise,active,EXP,QWM[,active
R>H[#ראה_see,stative,EXP,R>H[,stative
RXY[#רחץ_wash,stative,?,RXY[,stative
XV>[#חטא_miss,active,?,XV>[,stative
ZBX[#זבח_slaughter,active,?,ZBX[,stative
