,0
DBR[_piel,
>MR[_qal,
YWH[_piel,caus
CXV[_qal,caus
XCB[_nif,
CPK[_qal,caus
ZBX[_qal,caus
ZRQ[_qal,caus
QVR[_hif,caus
ZNH[_qal,
ZNH[_hif,caus
HJH[_qal,
GWR[_qal,
<FH[_qal,
>KL[_qal,
NTN[_qal,caus
KPR[_piel,
YWD[_qal,
>KL[_nif,
KSH[_piel,caus
KBS[_piel,caus
RXY[_qal,caus
VHR[_qal,
NF>[_qal,caus
CMR[_qal,
XJH[_qal,
LQX[_qal,caus
YRR=[_qal,
XLL[_piel,caus
CKB[_qal,
<MD[_qal,
RB<=[_qal,
RB<=[_hif,caus
PQD[_qal,
PQD[_hif,
QJ>[_hif,caus
QJ>[_qal,caus
<FH[_nif,
JR>[_qal,
PNH[_qal,
JTR[_nif,
JTR[_hif,caus
FRP[_nif,caus
RYH[_nif,
QYR=[_qal,caus
<LL[_piel,caus
<ZB[_qal,caus
GNB[_qal,caus
KXC[_piel,
CQR[_piel,
CB<[_nif,
<CQ[_qal,caus
GZL[_qal,caus
LJN[_qal,
HDR[_qal,caus
CPV[_qal,
FN>[_qal,
JKX[_hif,
NQM[_qal,
NVR=[_qal,
>HB[_qal,
ZR<[_qal,
XRP=[_nif,
PDH[_nif,caus
NTN[_nif,caus
XPC[_pual,
XV>[_qal,
SLX[_nif,
NV<[_qal,caus
<RL[_qal,caus
NXC[_piel,
<NN[_piel,
NQP[_hif,
CXT[_hif,caus
BQC[_piel,
JNH[_hif,caus
RGM[_qal,caus
<LM[_hif,caus
FJM[_qal,caus
N>P[_qal,
FRP[_qal,caus
HRG[_qal,caus
R>H[_qal,
<RH[_hif,caus
QWY[_qal,
JRC[_qal,
BDL[_hif,caus
CQY[_piel,caus
RMF[_qal,
XLL[_nif,caus
QRX[_qal,
GLX[_piel,
FRV[_qal,
GRC[_qal,caus
XLL[_hif,caus
JYQ[_hof,caus
LBC[_qal,
PR<[_qal,caus
PRM[_qal,caus
NGC[_qal,
NGC[_hif,caus
NZR[_nif,
YR<[_qal,
ZWB[_qal,
NG<[_qal,
QNH[_qal,caus
NF>[_hif,caus
PL>[_piel,caus
QR>[_qal,
NWP[_hif,caus
BLL[_qal,
SPR[_qal,
>PH[_nif,
<NH=[_piel,caus
<NH=[_pual,caus
>SP[_qal,caus
XGG[_qal,
FMX[_qal,
JD<[_qal,
<RK[_qal,caus
>PH[_qal,
NYH[_nif,
NQB[_qal,
PRC[_qal,
SMK[_qal,caus
NKH[_hif,
CLM[_piel,caus
ZMR=[_qal,caus
BYR[_qal,caus
MKR[_qal,caus
M<V[_hif,caus
MKR[_nif,caus
MWK[_qal,
G>L[_qal,caus
NFG[_hif,
MY>[_qal,
XCB[_piel,
TMM[_qal,
G>L[_nif,caus
MWV[_qal,
<BD[_qal,
RDH[_qal,caus
NXL[_hit,caus
C>R[_nif,
XWH[_hsht,
RDP[_qal,caus
NPL[_qal,
PRH[_hif,caus
G<L[_qal,
CBR[_qal,caus
CM<[_qal,
M>S[_qal,
PRR[_hif,caus
DWB[_hif,caus
NGP[_nif,
NWS[_qal,
JSR[_piel,caus
>BH[_qal,
CKL[_piel,caus
CMM[_qal,
CMM[_nif,
CMM[_hif,caus
CMM[_hof,caus
JSR[_nif,caus
>SP[_nif,caus
FB<[_qal,
CMD[_hif,caus
RWX[_hif,
ZRH[_piel,caus
RJQ[_hif,caus
RYH=[_qal,
RYH=[_hif,
KCL[_qal,
MQQ[_nif,
JDH[_hit,
M<L[_qal,
KN<[_nif,
ZKR[_qal,
<ZB[_nif,caus
