,PC 1,lex
42,46.01084768516502,come_BW>[
36,16.635562832700508,call_QR>[
124,15.153088323201098,send_CLX[
114,8.74703770170521,return_CWB[
46,7.058602386133947,cry_Y<Q[
75,6.368792211666333,hear_CM<[
8,6.268503118085621,ascend_<LH[
4,5.801700998045572,approach_NGC[
47,5.33082924721054,cry_Z<Q[
68,5.133849037258111,flee_NWS[
49,4.7479550487240365,descend_JRD[
5,4.140452380218354,approach_QRB[
71,2.7731594823820203,go out_JY>[
153,2.718947831337842,turn_PNH[
97,2.550650454302899,pour_CPK[
157,1.6252119149546564,walk_HLK[
145,1.6219833023979673,take_LQX[
41,1.4094337605028566,collect_QBY[
151,1.408405835267617,turn aside_SWR[
60,1.3719335093044838,entreat_<TR[
120,1.2289226066508534,run_RWY[
88,1.0672473757752492,look_C<H[
98,1.0672473757752492,pour_JYQ[
94,1.0672473757752492,open_PYH[
119,1.0631415063902505,run away_BRX[
100,0.9269119881204952,pull out_NS<[
69,0.8730774821935985,gather_>SP[
85,0.8337844501724324,lift_NF>[
24,0.7396512675725395,be strong_YLX[
154,0.646400534632564,turn_SBB[
137,0.5957304079976601,spread out_PRF[
143,0.5851120550299518,take captive_CBH[
76,0.5851120550299518,inquire_DRC[
146,0.5851120550299518,tear down_HRS[
131,0.5851120550299518,slaughter_ZBX[
12,0.5851120550299518,be complete_KLH[
90,0.5851120550299518,measure_MDD[
99,0.40986212856286885,press_LXY[
78,0.40986212856286885,kneel down_QDD[
45,0.40986212856286885,crouch_GHR[
156,0.40986212856286885,uncover_GLH[
155,0.40986212856286885,turn_T>R[
72,0.40986212856286885,hang_TL>[
59,0.34483584286770996,enclose_GNN[
14,0.34483584286770996,be heavy_KBD[
159,0.34483584286770996,weep_BKH[
101,0.34474888978038865,pursue_RDP[
29,0.33605196787380226,bind_YWR[
149,0.27988892446626346,touch_NG<[
77,0.23928474387967394,keep_CMR[
141,0.21072107288414893,strip off_PCV[
102,0.19755521297522294,put_CJT[
23,0.19755521297522294,be strong_XZQ[
150,0.19755521297522294,trust_BVX[
31,0.18715029273096906,break_PRY[
126,0.18715029273096906,set border_GBL[
11,0.1430235526521032,be angry_QYP[
66,0.1131534547761687,fast_YWM[
110,0.1131534547761687,rejoice_FWF[
2,0.1131534547761687,account_XCB[
152,0.1131534547761687,turn_HPK[
115,0.1131534547761687,ride_RKB[
117,0.1131534547761687,rule_FRR[
18,0.1131534547761687,be lame_PSX[
