,clause,verb,phrase,cmpl_type
427656,427656,>MR[,651855,L
427808,427808,>MR[,652310,L
427826,427826,>MR[,652355,L
427844,427844,>MR[,652408,L
427845,427845,CM<[,652412,L
427892,427892,XRH[,652556,L
427895,427895,XRH[,652567,L
427933,427933,>MR[,652675,L
427960,427960,>MR[,652765,L
428072,428072,JLD[,653125,L
428097,428097,>MR[,653207,L
428098,428098,BW>[,653210,L
428135,428135,>MR[,653321,L
428262,428262,>MR[,653763,L
428339,428339,<FH[,653991,L
428414,428414,FRP[,654227,L
428558,428558,JVB[,654675,L
428570,428570,QR>[,654723,L
428750,428750,>MR[,655260,L
428776,428776,>MR[,655336,L
428800,428800,JLD[,655411,L
428808,428808,CM<[,655436,L
428826,428826,<FH[,655492,L
428837,428837,>MR[,655522,L
428840,428840,>MR[,655531,L
428843,428843,>MR[,655542,L
428920,428920,XJH[,655798,L
428932,428932,JLD[,655841,L
428981,428981,NTN[,655984,L
429052,429052,NF>[,656182,L
429062,429062,NF>[,656214,L
429080,429080,XRH[,656266,L
429093,429093,XRH[,656302,L
429101,429101,CWB[,656325,L
429116,429116,HLK[,656362,L
429129,429129,>MR[,656399,L
429142,429142,<FH[,656440,L
429288,429288,>MR[,656884,L
429296,429296,>MR[,656908,L
429305,429305,XV>[,656935,L
429318,429318,QR>[,656970,L
429321,429321,QR>[,656982,L
429322,429322,>MR[,656985,L
429340,429340,>MR[,657044,L
429343,429343,>MR[,657055,L
429347,429347,NTN[,657064,L
429352,429352,>MR[,657078,L
429364,429364,<FH[,657120,L
429371,429371,JLD[,657145,L
429378,429378,YXQ[,657173,L
429389,429389,JLD[,657204,L
429391,429391,>MR[,657208,L
429422,429422,>MR[,657309,L
429450,429450,CQR[,657391,L
429464,429464,NTN[,657438,L
429500,429500,>MR[,657555,L
429527,429527,>MR[,657633,L
429590,429590,SPD[,657829,L
429599,429599,>MR[,657856,L
429640,429640,>MR[,657961,L
429650,429650,QWM[,658000,L
429658,429658,QWM[,658018,L
429751,429751,C>B[,658286,L
429770,429770,JLD[,658336,L
429835,429835,NTN[,658530,L
429874,429874,JLD[,658633,L
429902,429902,NTN[,658715,L
429918,429918,HLK[,658758,L
429920,429920,QR>[,658762,L
429922,429922,QR>[,658768,L
429929,429929,>MR[,658786,L
429994,429994,JLD[,658982,L
430016,430016,<TR[,659037,L
430026,430026,>MR[,659066,L
430094,430094,C>L[,659285,L
430103,430103,>RK[,659305,L
430107,430107,QR>[,659322,L
430146,430146,QR>[,659445,L
430205,430205,>MR[,659636,L
430266,430266,>MR[,659810,L
430271,430271,LQX[,659821,L
430332,430332,NCQ[,659976,L
430335,430335,NCQ[,659982,L
430346,430346,HWH[,660011,L
430358,430358,>MR[,660048,L
430363,430363,>MR[,660059,L
430378,430378,>MR[,660102,L
430393,430393,>MR[,660144,L
430424,430424,QR>[,660231,L
430437,430437,<FH[,660265,L
430448,430448,>MR[,660302,L
430459,430459,NTN[,660335,L
430536,430536,NTN[,660581,L
430549,430549,>MR[,660630,L
430554,430554,>MR[,660641,L
430558,430558,>MR[,660650,L
430584,430584,NCQ[,660722,L
430600,430600,>MR[,660767,L
430603,430603,>MR[,660779,L
430687,430687,JLD[,661050,L
430736,430736,>MR[,661211,L
430798,430798,PRY[,661405,L
430801,430801,<FH[,661416,L
430814,430814,BW>[,661454,L
430866,430866,QR>[,661612,L
430867,430867,>MR[,661617,L
430884,430884,NTN[,661677,L
430909,430909,>MR[,661747,L
430944,430944,>MR[,661859,L
430950,430950,>MR[,661883,L
430974,430974,>MR[,661946,L
430982,430982,LQX[,661967,L
431001,431001,XRH[,662027,L
431004,431004,>MR[,662036,L
431049,431049,>MR[,662164,L
431069,431069,>MR[,662225,L
431080,431080,QR>[,662267,L
431088,431088,CWB[,662291,L
431089,431089,HLK[,662295,L
431098,431098,>MR[,662323,L
431113,431113,YRR[,662363,L
431123,431123,CWB[,662390,L
431144,431144,<BR[,662455,L
431184,431184,JKL[,662566,L
431207,431207,C>L[,662621,L
431212,431212,ZRX[,662640,L
431226,431226,<BR[,662690,L
431274,431274,HLK[,662815,L
431281,431281,<BR[,662837,L
