,clause,verb,phrase,cmpl_type,cmpl_func
444895,444895,>MR[,704273,>L,-
444934,444934,>MR[,704389,>L,-
444944,444944,QRB[,704414,>L,DIR
444950,444950,BW>[,704434,>L,DIR
444978,444978,>MR[,704510,>L,-
445028,445028,>MR[,704653,>L,-
445038,445038,>MR[,704675,>L,-
445065,445065,>MR[,704759,>L,-
445092,445092,>MR[,704840,>L,-
445172,445172,<BR[,705083,>L,DIR
445180,445180,>MR[,705107,>L,-
445208,445208,>MR[,705183,>L,-
445285,445285,CM<[,705419,>L,-
445286,445286,>MR[,705423,>L,-
445303,445303,CM<[,705470,>L,-
445340,445340,QR>[,705569,>L,-
445352,445352,>MR[,705610,>L,-
445398,445398,BW>[,705752,>L,DIR
445488,445488,NWS[,706038,>L,DIR
445505,445505,QR>[,706086,>L,-
445506,445506,>MR[,706089,>L,-
445567,445567,NTN[,706286,>L,-
445571,445571,QRB[,706297,>L,DIR
445598,445598,>MR[,706373,>L,-
445963,445963,NTN[,707431,>L,-
445968,445968,NTN[,707449,>L,-
445969,445969,>MR[,707454,>L,-
445977,445977,>MR[,707476,>L,-
446009,446009,CM<[,707567,>L,-
446043,446043,PNH[,707669,>L,DIR
446054,446054,>MR[,707697,>L,-
446068,446068,NTN[,707749,>L,-
446091,446091,CM<[,707823,>L,-
446094,446094,>MR[,707832,>L,-
446186,446186,CM<[,708099,>L,-
446238,446238,CM<[,708264,>L,-
446241,446241,CM<[,708275,>L,-
446278,446278,DRC[,708391,>L,DIR
446291,446291,BW>[,708436,>L,DIR
446361,446361,BW>[,708646,>L,DIR
446396,446396,NTN[,708753,>L,-
446403,446403,CM<[,708771,>L,-
446431,446431,CM<[,708857,>L,-
446467,446467,QBY[,708955,>L,DIR
446554,446554,HLK[,709201,>L,DIR
446634,446634,>MR[,709466,>L,-
446678,446678,ZBX[,709617,>L,LOC
446768,446768,<LH[,709897,>L,DIR
446770,446770,BW>[,709904,>L,DIR
446787,446787,CM<[,709950,>L,-
446795,446795,BW>[,709974,>L,DIR
446845,446845,BW>[,710140,>L,DIR
446850,446850,BW>[,710158,>L,DIR
446860,446860,DRC[,710184,>L,DIR
446865,446865,CM<[,710205,>L,-
446870,446870,CM<[,710219,>L,-
446878,446878,>MR[,710243,>L,-
446887,446887,CM<[,710267,>L,-
446931,446931,NWS[,710403,>L,DIR
446963,446963,NWS[,710507,>L,DIR
447009,447009,QRB[,710643,>L,DIR
447012,447012,>MR[,710652,>L,-
447058,447058,QRB[,710772,>L,DIR
447088,447088,YWR[,710871,>L,?
447112,447112,MDD[,710936,>L,DIR
447156,447156,BW>[,711080,>L,DIR
447183,447183,CM<[,711164,>L,-
447186,447186,>MR[,711175,>L,-
447209,447209,>SP[,711249,>L,DIR
447249,447249,BW>[,711379,>L,DIR
447255,447255,QRB[,711396,>L,DIR
447259,447259,>MR[,711413,>L,-
447340,447340,CM<[,711672,>L,-
447355,447355,JY>[,711725,>L,DIR
447356,447356,BW>[,711728,>L,DIR
447362,447362,BW>[,711739,>L,DIR
447408,447408,NTN[,711886,>L,DIR
447463,447463,BW>[,712057,>L,DIR
447480,447480,NF>[,712112,>L,?
447589,447589,BW>[,712445,>L,DIR
447597,447597,HLK[,712471,>L,DIR
447600,447600,BW>[,712480,>L,DIR
447602,447602,>MR[,712486,>L,-
447604,447604,BW>[,712492,>L,DIR
447618,447618,Y<Q[,712537,>L,-
447677,447677,<BR[,712714,>L,DIR
447683,447683,BW>[,712734,>L,DIR
447719,447719,>MR[,712840,>L,-
447793,447793,JY>[,712998,>L,DIR
447817,447817,CM<[,713083,>L,-
447861,447861,JY>[,713198,>L,DIR
448030,448030,QR>[,713746,>L,-
448031,448031,>MR[,713749,>L,-
448046,448046,BW>[,713801,>L,DIR
448167,448167,CWB[,714180,>L,DIR
448180,448180,<BR[,714220,>L,DIR
448223,448223,>MR[,714337,>L,-
448228,448228,>MR[,714350,>L,-
448253,448253,>MR[,714418,>L,-
448256,448256,BW>[,714427,>L,DIR
448269,448269,NTN[,714463,>L,-
448291,448291,>MR[,714526,>L,-
448301,448301,>MR[,714556,>L,-
448320,448320,PNH[,714618,>L,DIR
448332,448332,PNH[,714649,>L,DIR
448534,448534,NF>[,715165,>L,DIR
448552,448552,>MR[,715223,>L,-
448565,448565,<LH[,715264,>L,DIR
448702,448702,>MR[,715643,>L,-
448719,448719,CM<[,715705,>L,-
448728,448728,>MR[,715741,>L,-
448733,448733,<BR[,715751,>L,DIR
