,clause,verb,phrase,cmpl_type,cmpl_func
464735,464735,PC<[,764069,B,-
464742,464742,DRC[,764087,B,-
464751,464751,DRC[,764110,B,-
464773,464773,DRC[,764167,B,-
464825,464825,JQR[,764307,B,-
464829,464829,JQR[,764319,B,-
464838,464838,DRC[,764345,B,-
464840,464840,DRC[,764352,B,-
464904,464904,<BR[,764541,B,LOC
464960,464960,PYR[,764692,B,-
465018,465018,PC<[,764868,B,-
465024,465024,PC<[,764885,B,-
465043,465043,NTN[,764931,B,-
465060,465060,NTN[,764983,B,-
465081,465081,NTN[,765048,B,-
465218,465218,<MD[,765434,B,LOC
465291,465291,LQX[,765629,B,-
465327,465327,HLK[,765730,B,LOC
465412,465412,LQX[,765963,B,-
465445,465445,RXY[,766056,B,LOC
465454,465454,QR>[,766079,B,-
465458,465458,RXY[,766095,B,LOC
465472,465472,VBL[,766131,B,LOC
465488,465488,PYR[,766177,B,-
465529,465529,PRY[,766291,B,-
465530,465530,YWR[,766295,B,-
465535,465535,PQD[,766310,B,DIR
465552,465552,DBQ[,766355,B,-
465678,465678,CBH[,766690,B,-
465689,465689,BW>[,766722,B,DIR
465904,465904,GWR[,767325,B,LOC
465936,465936,LQX[,767418,B,-
465944,465944,LQX[,767439,B,-
465968,465968,HRG[,767499,B,-
465986,465986,VBL[,767551,B,LOC
465994,465994,MLK[,767574,B,LOC
465995,465995,HLK[,767577,B,LOC
466024,466024,MLK[,767673,B,LOC
466026,466026,HLK[,767679,B,LOC
466041,466041,LQX[,767728,B,-
466102,466102,TQ<[,767892,B,-
466166,466166,MY>[,768053,B,LOC
466207,466207,QBR[,768161,B,LOC
466214,466214,BW>[,768189,B,DIR
466237,466237,MY>[,768241,B,-
466287,466287,FJM[,768385,B,DIR
466341,466341,R>H[,768538,B,-
466363,466363,CLX[,768606,B,DIR
466381,466381,FJM[,768661,B,DIR
466416,466416,HLK[,768754,B,-
466430,466430,QBR[,768792,B,LOC
466531,466531,MLK[,769103,B,LOC
466560,466560,NQB[,769199,B,LOC
466608,466608,QBR[,769351,B,LOC
466616,466616,XRH[,769379,B,-
466617,466617,NTN[,769382,B,-
466624,466624,JCB[,769410,B,LOC
466627,466627,HLK[,769419,B,-
466628,466628,<MD[,769424,B,LOC
466638,466638,QBR[,769454,B,LOC
466645,466645,HLK[,769476,B,-
466654,466654,MWT[,769509,B,-
466693,466693,BW>[,769610,B,DIR
466700,466700,NG<[,769631,B,-
466720,466720,MLK[,769694,B,LOC
466731,466731,XZQ[,769726,B,-
466742,466742,TPF[,769765,B,-
466761,466761,JCB[,769814,B,LOC
466773,466773,PRY[,769854,B,-
466799,466799,MLK[,769948,B,LOC
466826,466826,MLK[,770032,B,LOC
466836,466836,JCB[,770065,B,LOC
466863,466863,MLK[,770148,B,LOC
466890,466890,<MD[,770234,B,LOC
466927,466927,MLK[,770347,B,LOC
466948,466948,MLK[,770409,B,LOC
466951,466951,HLK[,770419,B,LOC
467029,467029,MY>[,770678,B,LOC
467034,467034,<LH[,770699,B,DIR
467044,467044,HLK[,770734,B,-
467091,467091,HLK[,770885,B,-
467093,467093,M>S[,770891,B,-
467095,467095,NTN[,770896,B,-
467101,467101,HLK[,770918,B,-
467110,467110,JCB[,770951,B,LOC
467133,467133,JCB[,771019,B,LOC
467189,467189,MLK[,771213,B,LOC
467202,467202,BVX[,771251,B,-
467205,467205,DBQ[,771265,B,-
467212,467212,MRD[,771286,B,-
467225,467225,CM<[,771327,B,-
467249,467249,<MD[,771401,B,LOC
467263,467263,MRD[,771436,B,-
467267,467267,BW>[,771448,B,-
467424,467424,NTN[,771905,B,LOC
467474,467474,<LH[,772032,B,?
467475,467475,FJM[,772036,B,DIR
467478,467478,BW>[,772045,B,LOC
467497,467497,CWB[,772108,B,LOC
467498,467498,BW>[,772111,B,LOC
467512,467512,JCB[,772149,B,LOC
467619,467619,MLK[,772471,B,LOC
467634,467634,FJM[,772515,B,?
467644,467644,FJM[,772545,B,DIR
467647,467647,FJM[,772550,B,?
467680,467680,NTN[,772643,B,-
467699,467699,MLK[,772705,B,LOC
467704,467704,HLK[,772719,B,LOC
467710,467710,HLK[,772738,B,LOC
467719,467719,QBR[,772771,B,LOC
467723,467723,MLK[,772782,B,LOC
467727,467727,HLK[,772793,B,LOC
467747,467747,MY>[,772856,B,LOC
467808,467808,R>H[,773033,B,-
467816,467816,QR>[,773060,B,-
467824,467824,<MD[,773087,B,-
467857,467857,FRP[,773197,B,-
467928,467928,XRH[,773417,B,-
467947,467947,QBR[,773475,B,LOC
467953,467953,MLK[,773493,B,LOC
467958,467958,MLK[,773509,B,LOC
467973,467973,MLK[,773557,B,LOC
467980,467980,MRD[,773581,B,-
468004,468004,MLK[,773656,B,LOC
468009,468009,BW>[,773674,B,-
468031,468031,MLK[,773751,B,LOC
468037,468037,MRD[,773772,B,-
468043,468043,BW>[,773792,B,-
468045,468045,XZQ[,773798,B,LOC
468060,468060,>SR[,773853,B,-
468065,468065,FRP[,773870,B,-
468112,468112,JCB[,774020,B,LOC
427834,427834,HLK[,652375,<L,LOC
428176,428176,HLK[,653468,<L,LOC
428202,428202,NWX[,653559,<L,LOC
428332,428332,FJM[,653969,<L,DIR
428422,428422,PWY[,654253,<L,LOC
428770,428770,JRD[,655316,<L,DIR
428774,428774,NPL[,655328,<L,-
428851,428851,CKN[,655567,<L,?
428873,428873,NPL[,655638,<L,DIR
428913,428913,NPL[,655776,<L,DIR
428965,428965,<BR[,655943,<L,DIR
429223,429223,JY>[,656669,<L,DIR
429249,429249,BW>[,656758,<L,DIR
429510,429510,FJM[,657589,<L,DIR
429531,429531,FJM[,657649,<L,DIR
429875,429875,FJM[,658638,<L,DIR
429887,429887,PNH[,658672,<L,DIR
429934,429934,RKB[,658800,<L,LOC
430011,430011,NPL[,659018,<L,DIR
430114,430114,MWT[,659342,<L,-
430159,430159,RJB[,659488,<L,-
430520,430520,JYQ[,660530,<L,DIR
430700,430700,JLD[,661087,<L,LOC
430790,430790,NQB[,661382,<L,-
430843,430843,CJT[,661541,<L,DIR
430921,430921,NF>[,661785,<L,DIR
430991,430991,JCB[,661997,<L,DIR
431065,431065,LQX[,662215,<L,-
431171,431171,<BR[,662526,<L,?
431222,431222,XYH[,662676,<L,-
431232,431232,NPL[,662705,<L,LOC
431403,431403,BW>[,663212,<L,-
431408,431408,BW>[,663229,<L,-
431489,431489,JYQ[,663473,<L,DIR
431664,431664,MLK[,663988,<L,-
431942,431942,QCR[,664776,<L,-
431949,431949,PRY[,664794,<L,-
432067,432067,QYP[,665155,<L,-
432102,432102,NTN[,665269,<L,-
432133,432133,TLH[,665365,<L,DIR
432140,432140,NTN[,665391,<L,-
432171,432171,QYP[,665498,<L,-
432194,432194,CM<[,665567,<L,-
432255,432255,CJT[,665742,<L,-
432274,432274,NCQ[,665807,<L,-
432278,432278,NTN[,665820,<L,-
432280,432280,NTN[,665829,<L,-
432282,432282,FJM[,665837,<L,DIR
432287,432287,NTN[,665851,<L,-
432293,432293,JY>[,665878,<L,DIR
432461,432461,NF>[,666361,<L,DIR
432520,432520,NTN[,666522,<L,-
432798,432798,FJM[,667330,<L,-
432914,432914,NPL[,667677,<L,DIR
432916,432916,BKH[,667683,<L,LOC
432918,432918,BKH[,667689,<L,LOC
432939,432939,XWS[,667750,<L,-
432990,432990,CJT[,667900,<L,-
433050,433050,NPL[,668079,<L,DIR
433158,433158,XZQ[,668416,<L,-
433214,433214,JCB[,668601,<L,LOC
433234,433234,MWT[,668659,<L,-
433265,433265,CJT[,668757,<L,-
433281,433281,CJT[,668807,<L,-
