,clause,verb,phrase,cmpl_type,cmpl_func
427807,427807,QR>[,652307,>L,-
427906,427906,QWM[,652602,>L,-
428847,428847,CM<[,655556,>L,-
428976,428976,NTN[,655972,>L,-
429128,429128,QR>[,656396,>L,-
429307,429307,NG<[,656940,>L,-
429405,429405,NTN[,657258,>L,-
429421,429421,QR>[,657305,>L,-
429426,429426,CM<[,657318,>L,-
429535,429535,QR>[,657662,>L,-
429557,429557,QR>[,657730,>L,-
429646,429646,CM<[,657974,>L,-
430445,430445,QR>[,660294,>L,-
430470,430470,CM<[,660372,>L,-
430626,430626,BW>[,660848,>L,DIR
430632,430632,BW>[,660868,>L,DIR
430699,430699,BW>[,661084,>L,DIR
430703,430703,BW>[,661099,>L,DIR
430749,430749,CM<[,661252,>L,-
430766,430766,CM<[,661312,>L,-
431368,431368,CM<[,663113,>L,-
431397,431397,CM<[,663195,>L,-
431446,431446,NTN[,663335,>L,-
431812,431812,BW>[,664409,>L,DIR
431829,431829,BW>[,664465,>L,DIR
431835,431835,BW>[,664485,>L,DIR
431870,431870,BW>[,664589,>L,DIR
431875,431875,BW>[,664603,>L,DIR
431888,431888,BW>[,664633,>L,DIR
431982,431982,NF>[,664912,>L,?
431999,431999,CM<[,664965,>L,-
432022,432022,BW>[,665021,>L,DIR
432055,432055,NVH[,665112,>L,-
432694,432694,NF>[,667037,>L,-
433311,433311,QR>[,668897,>L,-
433319,433319,CM<[,668914,>L,-
433745,433745,QR>[,670125,>L,-
434057,434057,Y<Q[,671031,>L,-
434132,434132,CM<[,671250,>L,-
434141,434141,CM<[,671273,>L,-
434188,434188,CM<[,671415,>L,-
434199,434199,CM<[,671453,>L,-
434233,434233,CM<[,671561,>L,-
434286,434286,CM<[,671713,>L,-
434339,434339,Y<Q[,671874,>L,-
434348,434348,CM<[,671906,>L,-
434367,434367,CM<[,671970,>L,-
434392,434392,QR>[,672051,>L,-
434469,434469,CM<[,672293,>L,-
434506,434506,FJM[,672401,>L,DIR
434669,434669,QR>[,672921,>L,-
434731,434731,CM<[,673105,>L,-
435038,435038,Y<Q[,674093,>L,-
435064,435064,Y<Q[,674167,>L,-
435218,435218,Y<Q[,674617,>L,-
435337,435337,CM<[,674947,>L,-
435422,435422,Y<Q[,675212,>L,-
435592,435592,QR>[,675752,>L,-
435927,435927,NTN[,676790,>L,-
435940,435940,NTN[,676832,>L,-
435982,435982,Y<Q[,676955,>L,-
435998,435998,Y<Q[,677006,>L,-
