,clause,verb,phrase,cmpl_type,cmpl_func
454788,454788,<BR[,734174,B,LOC
455386,455386,<BR[,735992,<L,?
445161,445161,<BR[,705049,B,LOC
430810,430810,<BR[,661438,B,LOC
448072,448072,<BR[,713888,B,LOC
452267,452267,<BR[,726496,B,?
437197,437197,<BR[,680700,<L,LOC
452549,452549,<BR[,727367,B,LOC
452564,452564,<BR[,727421,B,LOC
441489,441489,<BR[,693944,<L,LOC
464674,464674,<BR[,763879,B,-
454787,454787,<BR[,734171,B,LOC
454792,454792,<BR[,734185,B,LOC
434772,434772,<BR[,673241,B,LOC
464904,464904,<BR[,764541,B,LOC
448774,448774,<BR[,715862,B,LOC
448948,448948,<BR[,716379,B,LOC
441469,441469,<BR[,693880,<L,-
448959,448959,<BR[,716412,B,LOC
441403,441403,<BR[,693644,<L,-
441400,441400,<BR[,693634,<L,-
454790,454790,<BR[,734180,B,LOC
452264,452264,<BR[,726486,<L,LOC
463723,463723,<BR[,761227,B,LOC
432297,432297,<BR[,665890,B,LOC
443139,443139,<BR[,698964,B,LOC
443138,443138,<BR[,698961,B,LOC
443160,443160,<BR[,699022,B,LOC
442374,442374,<BR[,696547,B,LOC
442343,442343,<BR[,696454,B,LOC
443269,443269,<BR[,699361,B,LOC
443145,443145,<BR[,698983,B,LOC
443275,443275,<BR[,699379,B,LOC
450441,450441,<BR[,720900,B,LOC
451035,451035,<BR[,722712,B,LOC
431171,431171,<BR[,662526,<L,LOC
428965,428965,<BR[,655943,<L,LOC
440680,440680,<BR[,691476,B,LOC
447440,447440,<BR[,711992,<L,-
443153,443153,<BR[,699005,B,-
446363,446363,<FH[,708653,<L,LOC
436205,436205,<FH[,677663,<L,DIR
437724,437724,<FH[,682290,<L,DIR
436314,436314,<FH[,678015,<L,DIR
436501,436501,<FH[,678602,<L,DIR
450818,450818,<FH[,722029,<L,LOC
446780,446780,<FH[,709930,<L,-
447246,447246,<FH[,711369,<L,DIR
456502,456502,<FH[,739330,<L,-
436675,436675,<FH[,679188,<L,-
436525,436525,<FH[,678699,<L,DIR
436500,436500,<FH[,678597,<L,DIR
446774,446774,<FH[,709916,<L,-
437451,437451,<FH[,681453,<L,DIR
436398,436398,<FH[,678290,<L,DIR
462939,462939,<LH[,758868,B,DIR
442300,442300,<LH[,696321,B,DIR
455468,455468,<LH[,736232,B,DIR
457744,457744,<LH[,743164,B,-
460769,460769,<LH[,752375,B,-
451105,451105,<LH[,722942,B,DIR
467034,467034,<LH[,770699,B,DIR
434309,434309,<LH[,671781,B,DIR
448106,448106,<LH[,713989,B,LOC
452821,452821,<LH[,728219,B,?
445521,445521,<LH[,706139,B,DIR
435632,435632,<LH[,675884,B,DIR
467474,467474,<LH[,772032,B,-
458076,458076,<LH[,744140,B,DIR
435643,435643,<LH[,675914,B,DIR
443149,443149,<LH[,698992,B,LOC
444949,444949,<LH[,704431,B,LOC
460133,460133,<MD[,750426,>L,LOC
465539,465539,<MD[,766321,>L,LOC
456149,456149,<MD[,738273,>L,LOC
432009,432009,<ZB[,664991,B,LOC
432014,432014,<ZB[,665003,B,LOC
431975,431975,<ZB[,664890,B,DIR
433470,433470,<ZB[,669297,B,LOC
429144,429144,BW>[,656449,B,DIR
468009,468009,BW>[,773674,B,-
447350,447350,BW>[,711706,B,DIR
429661,429661,BW>[,658025,B,-
468043,468043,BW>[,773792,B,-
447406,447406,BW>[,711880,B,DIR
447409,447409,BW>[,711891,B,DIR
467498,467498,BW>[,772111,B,LOC
447334,447334,BW>[,711651,B,DIR
451986,451986,BW>[,725622,B,DIR
457261,457261,BW>[,741645,B,-
441457,441457,BW>[,693841,B,DIR
451696,451696,BW>[,724736,B,DIR
444311,444311,BW>[,702386,B,DIR
450038,450038,BW>[,719688,B,-
450041,450041,BW>[,719696,B,-
450877,450877,BW>[,722214,B,-
450881,450881,BW>[,722225,B,-
450901,450901,BW>[,722282,B,DIR
462680,462680,BW>[,758038,B,?
446924,446924,BW>[,710384,B,DIR
462681,462681,BW>[,758043,B,?
461140,461140,BW>[,753386,B,-
450922,450922,BW>[,722345,B,?
447332,447332,BW>[,711643,B,DIR
458517,458517,BW>[,745509,B,DIR
441446,441446,BW>[,693799,B,DIR
441438,441438,BW>[,693775,B,DIR
447333,447333,BW>[,711647,B,DIR
447331,447331,BW>[,711639,B,DIR
467478,467478,BW>[,772045,B,LOC
430985,430985,BW>[,661978,B,DIR
430988,430988,BW>[,661987,B,DIR
456898,456898,BW>[,740570,B,DIR
464647,464647,BW>[,763797,B,-
433331,433331,BW>[,668935,B,-
464644,464644,BW>[,763787,B,?
455816,455816,BW>[,737264,B,?
434308,434308,BW>[,671779,B,DIR
465689,465689,BW>[,766722,B,DIR
455485,455485,BW>[,736288,B,?
466214,466214,BW>[,768189,B,DIR
455131,455131,BW>[,735196,B,DIR
457297,457297,BW>[,741763,B,-
454794,454794,BW>[,734191,B,DIR
444315,444315,BW>[,702398,B,DIR
435963,435963,BW>[,676895,B,-
436098,436098,BW>[,677324,B,DIR
435197,435197,BW>[,674543,B,DIR
436178,436178,BW>[,677589,B,DIR
452558,452558,BW>[,727398,B,DIR
454678,454678,BW>[,733822,B,DIR
466693,466693,BW>[,769610,B,DIR
447330,447330,BW>[,711635,B,DIR
453410,453410,BW>[,729995,B,DIR
454355,454355,BW>[,732831,B,DIR
467267,467267,BW>[,771448,B,DIR
459709,459709,CLX[,749179,B,DIR
457064,457064,CLX[,741059,B,DIR
457403,457403,CLX[,742100,B,DIR
457038,457038,CLX[,740982,B,DIR
463802,463802,CLX[,761427,B,DIR
457413,457413,CLX[,742126,B,DIR
