clause,verb,phrase,cmpl_type,cmpl_func
443160,<BR[,699022,B,LOC
443275,<BR[,699379,B,LOC
452564,<BR[,727421,B,LOC
455427,<LH[,736119,<L,-
457744,<LH[,743164,B,?
465094,<MD[,765089,<L,LOC
460133,<MD[,750426,>L,LOC
459667,<MD[,749052,<L,LOC
450421,<MD[,720829,<L,LOC
450422,<MD[,720834,<L,LOC
432014,<ZB[,665003,B,LOC
433470,<ZB[,669297,B,LOC
431975,<ZB[,664890,B,-
432009,<ZB[,664991,B,LOC
448908,>SP[,716258,>L,DIR
428130,>SP[,653303,>L,DIR
459085,>SP[,747313,>L,DIR
432418,>SP[,666231,>L,DIR
451361,>SP[,723780,>L,DIR
467812,>SP[,773047,>L,DIR
454488,>SP[,733224,>L,DIR
467806,>SP[,773024,<L,DIR
433434,>SP[,669197,>L,DIR
447209,>SP[,711249,>L,DIR
455621,>SP[,736707,>L,DIR
450950,>SP[,722442,final_h,DIR
452558,BW>[,727398,B,DIR
454678,BW>[,733822,B,DIR
464647,BW>[,763797,B,?
464644,BW>[,763787,B,?
461489,CLX[,754434,B,?
455089,CLX[,735067,B,DIR
446471,DBQ[,708971,B,?
464124,FJM[,762306,B,DIR
451529,FJM[,724323,B,DIR
466666,FJM[,769545,<L,DIR
433948,FJM[,670720,B,-
455964,HLK[,737703,B,?
453794,HPK[,731144,B,?
459030,JHB[,747148,>L,?
457410,JRD[,742117,B,?
457710,JRD[,743051,B,?
465050,JYQ[,764953,<L,DIR
442996,LQX[,698481,>L,DIR
449969,LQX[,719542,B,?
456716,LQX[,740000,B,DIR
460180,LQX[,750587,B,DIR
455794,LQX[,737216,B,DIR
464980,LQX[,764750,>L,DIR
433943,LQX[,670708,B,DIR
449633,LQX[,718501,B,DIR
457801,LQX[,743327,>L,DIR
456093,LQX[,738089,B,DIR
433245,LQX[,668695,>L,DIR
451927,LQX[,725446,B,DIR
434243,LQX[,671590,B,DIR
433923,LQX[,670648,B,DIR
432595,LQX[,666751,B,DIR
439773,LQX[,688696,>L,?
443653,LQX[,700490,>L,DIR
440398,LQX[,690571,>L,DIR
452371,LQX[,726810,B,DIR
443795,LQX[,700894,B,DIR
460905,LQX[,752727,B,?
441415,LQX[,693688,B,DIR
453626,LQX[,730628,<L,DIR
466041,LQX[,767728,B,DIR
450428,LQX[,720861,final_h,LOC
465291,LQX[,765629,B,DIR
435430,LQX[,675238,B,DIR
429511,LQX[,657592,B,DIR
465936,LQX[,767418,B,DIR
437193,LQX[,680684,B,DIR
465944,LQX[,767439,B,DIR
459366,LQX[,748153,<L,DIR
431065,LQX[,662215,<L,?
435200,LQX[,674558,B,DIR
465412,LQX[,765963,B,DIR
442085,LQX[,695681,>L,DIR
467323,LQX[,771623,>L,DIR
436443,LQX[,678426,>L,DIR
456615,LQX[,739687,>L,DIR
453925,LQX[,731552,B,-
454122,LQX[,732141,B,?
466662,LQX[,769530,>L,DIR
438618,LQX[,685102,>L,DIR
432582,LQX[,666711,B,DIR
431665,MCL[,663992,B,-
452167,MCL[,726179,B,-
452115,MCL[,725999,B,-
452120,MCL[,726019,B,-
452119,MCL[,726016,B,-
452118,MCL[,726011,B,-
446596,MCL[,709332,B,-
427843,MCL[,652406,B,-
427902,MCL[,652590,B,-
452168,MCL[,726183,B,-
427613,MCL[,651729,B,-
446597,MCL[,709334,B,-
451447,MKR[,724053,B,-
451476,MKR[,724152,B,-
451342,MKR[,723715,B,-
455199,MKR[,735410,B,-
