node,book,chapter,verse,lang,lex,stem,tense,func,pdp,word_order,pred
27,Genesis,1,2,Hebrew,RXP,piel,ptca,PreC,verb,SV,
90,Genesis,1,6,Hebrew,BDL,hif,ptca,PreC,verb,V,HJH
187,Genesis,1,11,Hebrew,ZR<,hif,ptca,PreC,verb,V,
191,Genesis,1,11,Hebrew,<FH,qal,ptca,PreC,verb,V,
210,Genesis,1,12,Hebrew,ZR<,hif,ptca,PreC,verb,V,
216,Genesis,1,12,Hebrew,<FH,qal,ptca,PreC,verb,V,
395,Genesis,1,21,Hebrew,RMF,qal,ptca,PreC,verb,V,
530,Genesis,1,26,Hebrew,RMF,qal,ptca,PreC,verb,V,
586,Genesis,1,28,Hebrew,RMF,qal,ptca,PreC,verb,V,
599,Genesis,1,29,Hebrew,ZR<,qal,ptca,PreC,verb,V,
616,Genesis,1,29,Hebrew,ZR<,qal,ptca,PreC,verb,V,
841,Genesis,2,9,Hebrew,XMD,nif,ptca,PreC,verb,V,
865,Genesis,2,10,Hebrew,JY>,qal,ptca,PreC,verb,SV,
888,Genesis,2,11,Hebrew,SBB,qal,ptca,PreC,verb,V,
921,Genesis,2,13,Hebrew,SBB,qal,ptca,PreC,verb,V,
935,Genesis,2,14,Hebrew,HLK,qal,ptca,PreC,verb,V,
1243,Genesis,3,5,Hebrew,JD<,qal,ptca,PreC,verb,VS,
1279,Genesis,3,6,Hebrew,XMD,nif,ptca,PreC,verb,VS,
1321,Genesis,3,8,Hebrew,HLK,hit,ptca,PreC,verb,V,
1435,Genesis,3,14,Hebrew,>RR,qal,ptcp,PreC,verb,VS,
1519,Genesis,3,17,Hebrew,>RR,qal,ptcp,PreC,verb,VS,
1659,Genesis,3,24,Hebrew,HPK,hit,ptca,PreC,verb,V,
1697,Genesis,4,2,Hebrew,R<H,qal,ptca,PreC,subs,SV,HJH
1702,Genesis,4,2,Hebrew,<BD,qal,ptca,PreC,subs,SV,HJH
1779,Genesis,4,7,Hebrew,RBY,qal,ptca,PreC,verb,SV,
1821,Genesis,4,9,Hebrew,CMR,qal,ptca,PreC,verb,VS,
1831,Genesis,4,10,Hebrew,Y<Q,qal,ptca,PreC,verb,SV,
1838,Genesis,4,11,Hebrew,>RR,qal,ptcp,PreC,verb,VS,
1864,Genesis,4,12,Hebrew,NW<,qal,ptca,PreC,adjv,VV,HJH
1866,Genesis,4,12,Hebrew,NWD,qal,ptca,PreC,adjv,VV,HJH
1896,Genesis,4,14,Hebrew,NW<,qal,ptca,PreC,adjv,VV,HJH
1898,Genesis,4,14,Hebrew,NWD,qal,ptca,PreC,adjv,VV,HJH
1913,Genesis,4,15,Hebrew,HRG,qal,ptca,PreC,verb,V,
1928,Genesis,4,15,Hebrew,MY>,qal,ptca,Subj,subs,S,NKH
1956,Genesis,4,17,Hebrew,BNH,qal,ptca,PreC,verb,V,
2011,Genesis,4,20,Hebrew,JCB,qal,ptca,PreC,subs,SV,HJH
2023,Genesis,4,21,Hebrew,TPF,qal,ptca,PreC,subs,SV,HJH
2916,Genesis,6,17,Hebrew,BW>,hif,ptca,PreC,verb,V,
3111,Genesis,7,4,Hebrew,MVR,hif,ptca,PreC,verb,SV,
3193,Genesis,7,8,Hebrew,RMF,qal,ptca,PreC,verb,V,
3320,Genesis,7,14,Hebrew,RMF,qal,ptca,PreC,verb,V,
3355,Genesis,7,16,Hebrew,BW>,qal,ptca,PreC,verb,V,
3453,Genesis,7,21,Hebrew,RMF,qal,ptca,PreC,verb,V,
3474,Genesis,7,21,Hebrew,CRY,qal,ptca,PreC,verb,V,
3893,Genesis,8,17,Hebrew,RMF,qal,ptca,PreC,verb,V,
3933,Genesis,8,19,Hebrew,RMF,qal,ptca,PreC,verb,V,
4178,Genesis,9,9,Hebrew,QWM,hif,ptca,PreC,verb,V,
4209,Genesis,9,10,Hebrew,JY>,qal,ptca,PreC,verb,V,
4250,Genesis,9,12,Hebrew,NTN,qal,ptca,PreC,verb,SV,
4375,Genesis,9,18,Hebrew,JY>,qal,ptca,PreC,verb,V,
4482,Genesis,9,25,Hebrew,>RR,qal,ptcp,PreC,verb,VS,
